STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
1,7520207,Kỹ thuật Điện tử viễn thông,A00;A01,19.45,
2,7510301,"Công nghệ Kỹ thuật Điện, điện tử",A00;A01,19.3,
3,7480201,Công nghệ thông tin,A00;A01,21.5,
4,7480202,An toàn thông tin,A00;A01,20.65,
5,7329001,Công nghệ đa phương tiện,A00;A01;D01,20.2,
6,7320104,Truyền thông đa phương tiện,A00;A01;D01,20.45,
7,7340101,Quản trị kinh doanh,A00;A01;D01,18.05,
8,7340122,Thương mại điện tử,A00;A01;D01,20.7,
9,7340115,Marketing,A00;A01;D01,19.7,
10,7340301,Kế toán,A00;A01;D01,18.15,
11,7340205,Công nghệ tài chính (Fintech),A00;A01;D01,19.65,
