STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
1,7520207,Kỹ thuật Điện tử viễn thông,,16,
2,7510301,"Công nghệ Kỹ thuật Điện, điện tử",,16.45,
3,7480201,Công nghệ thông tin,,20.05,
4,7480202,An toàn thông tin,,18.85,
5,7480101,Khoa học máy tính,,20.65,
6,7329001,Công nghệ đa phương tiện,,16,
7,7320104,Truyền thông đa phương tiện,,17.65,
8,7320101,Báo chí,,16.4,
9,7340101,Quản trị kinh doanh,,16,
10,7340122,Thương mại điện tử,,18.9,
11,7340115,Marketing,,16,
12,7340301,Kế toán,,16,
13,7340205,Công nghệ tài chính (Fintech),,16.25,
