STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
1,7520207,Kỹ thuật Điện tử viễn thông,A00; A01,16.23,
2,7510301,"Công nghệ Kỹ thuật Điện, điện tử",A00; A01,15.08,
3,7520216,Kỹ thuật Điều khiển và tự động hóa,A00; A01,16.18,
4,7520208,Công nghệ Inernet vạn vật (loT),A00; A01,18.33,
5,7480201,Công nghệ thông tin,A00; A01,18.01,
6,7480202,An toàn thông tin,A00; A01,15.8,
7,7329001,Công nghệ đa phương tiện,A00; A01; D01,15.05,
8,7340101,Quản trị kinh doanh,A00; A01; D01,19.9,
9,7340115,Marketing,A00; A01; D01,15.93,
10,7340301,Kế toán,A00; A01; D01,15.88,
11,7480201_CLC,Công nghệ thông tin,A00; A01; D01,15.03,
12,7340115_CLC,Marketing,A00; A01; D01,15.28,
