STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
1,7520207,Kỹ thuật Điện tử viễn thông,A00; A01,23.23,TTNV<=7
2,7510301,"Công nghệ Kỹ thuật Điện, điện tử",A00; A01,20.85,TTNV<=4
3,7520216,Kỹ thuật Điều khiển và tự động hóa,A00; A01,19.65,TTNV<=6
4,7520208,Công nghệ Inernet vạn vật (IoT),A00; A01,18,TTNV<=3
5,7480201,Công nghệ thông tin,A00; A01,25.17,TTNV<=8
6,7480202,An toàn thông tin,A00; A01,24.68,TTNV<=11
7,7329001,Công nghệ đa phương tiện,A00; A01; D01,23.95,TTNV<=3
8,7340101,Quản trị kinh doanh,A00; A01; D01,18.4,TTNV<=3
9,7340115,Marketing,A00; A01; D01,24.24,TTNV<=5
10,7340301,Kế toán,A00; A01; D01,20.95,TTNV<=23
11,7480201_CLC,Công nghệ thông tin chất lượng cao,A00; A01,23.25,TTNV<=3
12,7340115_CLC,Marketing chất lượng cao,A00; A01; D01,18,TTNV<=5
