STT,Tên ngành,Mã ngành,Tổ hợp xét tuyển,Điểm chuẩn
1,Kỹ thuật Điện tử viễn thông,7520207,"A00, A01",25.32
2,"Công nghệ KT Điện, điện tử",7510301,"A00, A01",23.58
3,Công nghệ thông tin,7480201,"A00, A01",27.44
4,An toàn thông tin,7480202,"A00, A01",27.21
6,Công nghệ đa phương tiện,7329001,"A00, A01, D01",25.81
7,Truyền thông đa phương tiện,7320104,"A00, A01, D01",26.93
8,Quản trị kinh doanh,7340101,"A00, A01, D01",24.97
9,Marketing,7340115,"A00, A01, D01",25.97
10,Thương mại điện tử,7340122,"A00, A01, D01",26.42
11,Kế toán,7340301,"A00, A01, D01",23.46
12,Công nghệ tài chính (Fintech),7340208,"A00, A01, D01",26.24
