STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
1,7520207,Kỹ thuật Điện tử viễn thông,A00;A01,21,TTNV <= 3
2,7520208,Công nghệ Internet vạn vật (IoT),A00;A01,20.7,TTNV = 1
3,7510301,"Công nghệ kỹ thuật Điện, điện tử",A00;A01,19,TTNV <= 2
4,7520226,Kỹ thuật Điều khiển và tự động hóa,A00;A01,19.05,TTNV = 1
5,7480201,Công nghệ thông tin,A00;A01,25.85,TTNV <= 7
6,7480202,An toàn thông tin,A00;A01,25.05,TTNV <= 7
7,7329001,Công nghệ đa phương tiện,A00;A01;D01,24.25,TTNV <= 8
8,7340101,Quản trị kinh doanh,A00;A01;D01,21.7,TTNV <= 3
9,7340115,Marketing,A00;A01;D01,24.85,TTNV <= 7
10,7340301,Kế toán,A00;A01;D01,22.9,TTNV <= 7
