STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
1,7520207,Kỹ thuật Điện tử viễn thông,A00; A01,23.77,Học bạ và CCQT
2,7510301,"Công nghệ Kỹ thuật Điện, điện tử",A00; A01,24.36,Học bạ và CCQT
3,7520216,Kỹ thuật Điều khiển và tự động hóa,A00; A01,23.7,Học bạ và CCQT
4,7520208,Công nghệ Internet vạn vật (IoT),A00; A01,24.83,Học bạ và CCQT
5,7480201,Công nghệ thông tin,A00; A01,22.2,Học bạ và CCQT
6,7480202,An toàn thông tin,A00; A01,21.89,Học bạ và CCQT
7,7329001,Công nghệ đa phương tiện,A00; A01; D01,23.46,Học bạ và CCQT
9,7340115,Marketing,A00; A01; D01,23.87,Học bạ và CCQT
10,7340301,Kế toán,A00; A01; D01,22.8,Học bạ và CCQT
11,7480201_CLC,Công nghệ thông tin chương trình chất lượng cao ,A00; A01; D01,23.36,"Học bạ và CCQT, CT chất lượng cao"
12,7340115_CLC,Marketing chương trình chất lượng cao ,A00; A01; D01,21.53,"Học bạ và CCQT, CT chất lượng cao"
